rep_id,visit_count
REP_0001,90
REP_0002,80
REP_0003,52
REP_0004,78
REP_0005,107
REP_0006,59
REP_0007,76
REP_0008,58
REP_0009,53
REP_0010,89
REP_0011,35
REP_0012,58
REP_0013,69
REP_0014,42
REP_0015,42
REP_0016,91
REP_0017,65
REP_0018,62
REP_0019,53
REP_0020,73
REP_0021,73
REP_0022,50
REP_0023,69
REP_0024,53
REP_0025,66
REP_0026,121
REP_0027,55
REP_0028,26
REP_0029,20
REP_0030,84
REP_0031,67
REP_0032,94
REP_0033,52
REP_0034,64
REP_0035,38
REP_0036,28
REP_0037,56
REP_0038,68
REP_0039,27
REP_0040,46
REP_0041,91
REP_0042,45
REP_0043,48
REP_0044,31
REP_0045,72
REP_0046,77
REP_0047,74
REP_0048,57
REP_0049,54
REP_0050,71
REP_0051,60
REP_0052,91
REP_0053,79
REP_0054,72
REP_0055,62
REP_0056,49
REP_0057,47
REP_0058,59
REP_0059,68
REP_0060,48
REP_0061,59
REP_0062,72
REP_0063,61
REP_0064,91
REP_0065,50
REP_0066,22
REP_0067,91
REP_0068,22
REP_0069,58
REP_0070,65
REP_0071,108
REP_0072,93
REP_0073,79
REP_0074,57
REP_0075,42
REP_0076,74
REP_0077,84
REP_0078,75
REP_0079,65
REP_0080,86
REP_0081,42
REP_0082,31
REP_0083,39
REP_0084,68
REP_0085,62
REP_0086,51
REP_0087,49
REP_0088,82
REP_0089,109
REP_0090,60
REP_0091,55
REP_0092,76
REP_0093,66
REP_0094,51
REP_0095,60
REP_0096,71
REP_0097,55
REP_0098,105
REP_0099,38
REP_0100,98
REP_0101,25
REP_0102,90
REP_0103,27
REP_0104,71
REP_0105,97
REP_0106,49
REP_0107,130
REP_0108,67
REP_0109,68
REP_0110,34
REP_0111,54
REP_0112,35
REP_0113,69
REP_0114,40
REP_0115,71
REP_0116,38
REP_0117,60
REP_0118,50
REP_0119,77
REP_0120,57
REP_0121,50
REP_0122,24
REP_0123,57
REP_0124,73
REP_0125,46
REP_0126,53
REP_0127,54
REP_0128,56
REP_0129,56
REP_0130,65
REP_0131,86
REP_0132,63
REP_0133,21
REP_0134,66
REP_0135,59
REP_0136,37
REP_0137,51
REP_0138,57
REP_0139,63
REP_0140,55
REP_0141,61
REP_0142,60
REP_0143,52
REP_0144,53
REP_0145,101
REP_0146,57
REP_0147,57
REP_0148,50
REP_0149,60
REP_0150,60
REP_0151,30
REP_0152,32
REP_0153,33
REP_0154,56
REP_0155,55
REP_0156,86
REP_0157,72
REP_0158,50
REP_0159,56
REP_0160,77
REP_0161,72
REP_0162,79
REP_0163,77
REP_0164,130
REP_0165,40
REP_0166,38
REP_0167,74
REP_0168,56
REP_0169,54
REP_0170,85
REP_0171,62
REP_0172,45
REP_0173,80
REP_0174,54
REP_0175,42
REP_0176,47
REP_0177,49
REP_0178,57
REP_0179,67
REP_0180,53
REP_0181,61
REP_0182,59
REP_0183,64
REP_0184,53
REP_0185,62
REP_0186,39
REP_0187,74
REP_0188,45
REP_0189,60
REP_0190,70
REP_0191,85
REP_0192,49
REP_0193,39
REP_0194,55
REP_0195,96
REP_0196,72
REP_0197,83
REP_0198,94
REP_0199,48
REP_0200,35
REP_0201,47
REP_0202,52
REP_0203,31
REP_0204,61
REP_0205,98
REP_0206,34
