territory_id,retailer_count
TER_0001,9
TER_0002,8
TER_0003,7
TER_0004,5
TER_0005,6
TER_0006,8
TER_0007,6
TER_0008,6
TER_0009,10
TER_0010,6
TER_0011,9
TER_0012,9
TER_0013,8
TER_0014,5
TER_0015,10
TER_0016,11
TER_0017,6
TER_0018,10
TER_0019,6
TER_0020,11
TER_0021,8
TER_0022,9
TER_0023,7
TER_0024,6
TER_0025,5
TER_0026,7
TER_0027,8
TER_0028,6
TER_0029,7
TER_0030,6
TER_0031,10
TER_0032,8
TER_0033,10
TER_0034,9
TER_0035,6
TER_0036,9
TER_0037,9
TER_0038,7
TER_0039,8
TER_0040,6
TER_0041,6
TER_0042,11
TER_0043,7
TER_0044,6
TER_0045,10
TER_0046,10
TER_0047,8
TER_0048,11
TER_0049,7
TER_0050,9
TER_0051,5
TER_0052,7
TER_0053,5
TER_0054,9
TER_0055,10
TER_0056,8
TER_0057,6
TER_0058,7
TER_0059,9
TER_0060,7
TER_0061,10
TER_0062,10
TER_0063,10
TER_0064,6
TER_0065,8
TER_0066,6
TER_0067,7
TER_0068,11
TER_0069,11
TER_0070,8
TER_0071,10
TER_0072,10
TER_0073,9
TER_0074,7
TER_0075,6
TER_0076,11
TER_0077,10
TER_0078,6
TER_0079,5
TER_0080,6
TER_0081,6
TER_0082,6
TER_0083,10
TER_0084,6
TER_0085,10
TER_0086,10
TER_0087,10
TER_0088,11
TER_0089,8
TER_0090,11
TER_0091,5
TER_0092,6
TER_0093,11
TER_0094,8
TER_0095,9
TER_0096,6
TER_0097,8
TER_0098,10
TER_0099,6
TER_0100,10
TER_0101,5
TER_0102,8
TER_0103,11
TER_0104,6
TER_0105,11
TER_0106,6
TER_0107,8
TER_0108,11
TER_0109,7
TER_0110,6
TER_0111,9
TER_0112,6
TER_0113,11
TER_0114,11
TER_0115,5
TER_0116,9
TER_0117,10
TER_0118,5
TER_0119,6
TER_0120,9
TER_0121,8
TER_0122,7
TER_0123,5
TER_0124,7
TER_0125,6
TER_0126,6
TER_0127,10
TER_0128,6
TER_0129,11
TER_0130,6
TER_0131,6
TER_0132,10
TER_0133,11
TER_0134,6
TER_0135,8
TER_0136,11
TER_0137,10
TER_0138,7
TER_0139,11
TER_0140,7
TER_0141,8
TER_0142,10
TER_0143,9
TER_0144,10
TER_0145,11
TER_0146,10
TER_0147,6
TER_0148,7
TER_0149,7
TER_0150,6
TER_0151,9
TER_0152,5
TER_0153,11
TER_0154,7
TER_0155,7
TER_0156,5
TER_0157,6
TER_0158,5
TER_0159,7
TER_0160,6
TER_0161,5
TER_0162,9
TER_0163,6
TER_0164,11
TER_0165,7
TER_0166,8
TER_0167,10
TER_0168,7
TER_0169,11
TER_0170,6
TER_0171,10
TER_0172,7
TER_0173,10
TER_0174,10
TER_0175,7
TER_0176,6
TER_0177,6
TER_0178,10
TER_0179,9
TER_0180,10
TER_0181,10
TER_0182,10
TER_0183,5
TER_0184,6
TER_0185,5
TER_0186,10
TER_0187,9
TER_0188,6
TER_0189,7
TER_0190,7
TER_0191,7
TER_0192,11
TER_0193,10
TER_0194,6
TER_0195,10
TER_0196,6
TER_0197,8
TER_0198,10
TER_0199,7
TER_0200,6
TER_0201,10
TER_0202,11
TER_0203,6
TER_0204,5
TER_0205,11
TER_0206,5
TER_0207,6
TER_0208,7
TER_0209,6
TER_0210,10
TER_0211,10
TER_0212,10
TER_0213,7
TER_0214,10
TER_0215,5
TER_0216,6
TER_0217,10
TER_0218,5
TER_0219,10
TER_0220,8
TER_0221,10
TER_0222,8
TER_0223,10
TER_0224,11
TER_0225,10
TER_0226,6
TER_0227,7
TER_0228,8
TER_0229,7
TER_0230,5
TER_0231,11
TER_0232,5
TER_0233,9
TER_0234,5
TER_0235,5
TER_0236,10
TER_0237,11
TER_0238,11
TER_0239,6
TER_0240,5
TER_0241,11
TER_0242,6
TER_0243,6
TER_0244,6
TER_0245,6
TER_0246,7
TER_0247,10
TER_0248,6
TER_0249,7
TER_0250,5
TER_0251,6
TER_0252,10
TER_0253,11
TER_0254,9
TER_0255,8
TER_0256,7
TER_0257,9
TER_0258,7
TER_0259,8
TER_0260,10
TER_0261,6
TER_0262,8
TER_0263,10
TER_0264,9
TER_0265,6
TER_0266,5
TER_0267,10
TER_0268,6
TER_0269,6
TER_0270,11
TER_0271,7
TER_0272,11
TER_0273,8
TER_0274,6
TER_0275,9
TER_0276,6
TER_0277,7
TER_0278,9
TER_0279,8
TER_0280,6
TER_0281,10
TER_0282,11
TER_0283,8
TER_0284,11
TER_0285,5
TER_0286,11
TER_0287,8
TER_0288,6
TER_0289,6
TER_0290,8
TER_0291,6
TER_0292,6
TER_0293,11
TER_0294,6
TER_0295,8
TER_0296,8
TER_0297,7
TER_0298,9
TER_0299,7
TER_0300,8
TER_0301,11
TER_0302,10
TER_0303,8
TER_0304,5
TER_0305,6
TER_0306,10
TER_0307,8
TER_0308,5
TER_0309,5
TER_0310,9
TER_0311,6
TER_0312,8
TER_0313,6
TER_0314,10
TER_0315,11
TER_0316,10
TER_0317,11
TER_0318,5
TER_0319,6
TER_0320,6
TER_0321,6
TER_0322,11
TER_0323,5
TER_0324,9
TER_0325,11
TER_0326,6
TER_0327,10
TER_0328,6
TER_0329,5
TER_0330,8
TER_0331,9
TER_0332,5
TER_0333,9
TER_0334,7
TER_0335,7
TER_0336,6
TER_0337,9
TER_0338,11
TER_0339,10
TER_0340,6
TER_0341,7
TER_0342,6
TER_0343,6
TER_0344,10
TER_0345,5
TER_0346,6
TER_0347,9
TER_0348,10
TER_0349,7
TER_0350,8
TER_0351,6
TER_0352,6
TER_0353,10
TER_0354,5
TER_0355,10
TER_0356,7
TER_0357,7
TER_0358,10
TER_0359,9
TER_0360,8
TER_0361,7
TER_0362,7
TER_0363,5
TER_0364,7
TER_0365,10
TER_0366,9
TER_0367,8
TER_0368,6
TER_0369,8
TER_0370,9
TER_0371,11
TER_0372,10
TER_0373,11
TER_0374,9
TER_0375,5
TER_0376,6
TER_0377,8
TER_0378,6
TER_0379,8
TER_0380,5
TER_0381,6
TER_0382,10
TER_0383,9
TER_0384,9
TER_0385,10
TER_0386,11
TER_0387,6
TER_0388,10
TER_0389,7
TER_0390,8
TER_0391,5
TER_0392,10
TER_0393,5
TER_0394,11
TER_0395,11
TER_0396,7
TER_0397,9
TER_0398,10
TER_0399,6
TER_0400,9
TER_0401,9
TER_0402,6
TER_0403,8
TER_0404,11
TER_0405,8
TER_0406,10
TER_0407,9
TER_0408,10
TER_0409,8
TER_0410,11
TER_0411,6
TER_0412,7
TER_0413,10
TER_0414,10
TER_0415,6
TER_0416,8
TER_0417,10
TER_0418,11
TER_0419,5
TER_0420,8
TER_0421,8
TER_0422,7
TER_0423,10
TER_0424,9
TER_0425,10
TER_0426,10
TER_0427,10
TER_0428,7
TER_0429,11
TER_0430,10
TER_0431,6
TER_0432,6
TER_0433,8
TER_0434,11
TER_0435,9
TER_0436,6
TER_0437,7
TER_0438,8
TER_0439,7
TER_0440,7
TER_0441,6
TER_0442,5
TER_0443,5
TER_0444,7
TER_0445,10
TER_0446,6
TER_0447,10
TER_0448,10
TER_0449,7
TER_0450,10
TER_0451,10
TER_0452,10
TER_0453,7
TER_0454,6
TER_0455,5
TER_0456,6
TER_0457,10
TER_0458,7
TER_0459,6
TER_0460,11
TER_0461,10
TER_0462,5
TER_0463,11
TER_0464,7
TER_0465,6
TER_0466,10
TER_0467,6
TER_0468,10
TER_0469,11
TER_0470,11
TER_0471,9
TER_0472,10
TER_0473,11
TER_0474,10
TER_0475,11
TER_0476,10
TER_0477,6
TER_0478,10
TER_0479,10
TER_0480,8
TER_0481,7
TER_0482,8
TER_0483,11
TER_0484,10
TER_0485,7
TER_0486,8
TER_0487,10
TER_0488,6
TER_0489,8
TER_0490,7
TER_0491,8
TER_0492,9
TER_0493,9
TER_0494,11
TER_0495,6
TER_0496,6
TER_0497,6
TER_0498,7
TER_0499,10
TER_0500,6
