campaign_product,message_sent_date,clicks,sku_name,transaction_date,total_sales
Amistar 250 SC,2025-10-06,1,Amistar 250 SC,2025-10-06,1808
Amistar 250 SC,2025-10-07,1,Amistar 250 SC,2025-10-07,1221
Amistar 250 SC,2025-10-08,1,Amistar 250 SC,2025-10-08,1737
Amistar 250 SC,2025-10-12,3,Amistar 250 SC,2025-10-12,1914
Amistar 250 SC,2025-10-13,3,Amistar 250 SC,2025-10-13,1481
Amistar 250 SC,2025-10-14,1,Amistar 250 SC,2025-10-14,1605
Amistar 250 SC,2025-10-17,1,Amistar 250 SC,2025-10-17,1106
Amistar 250 SC,2025-10-18,3,Amistar 250 SC,2025-10-18,1567
Amistar 250 SC,2025-10-20,2,Amistar 250 SC,2025-10-20,1045
Amistar 250 SC,2025-10-21,1,Amistar 250 SC,2025-10-21,1169
Amistar 250 SC,2025-10-26,2,Amistar 250 SC,2025-10-26,1284
Amistar 250 SC,2025-10-27,1,Amistar 250 SC,2025-10-27,1404
Amistar 250 SC,2025-10-28,1,Amistar 250 SC,2025-10-28,1667
Amistar 250 SC,2025-10-30,1,Amistar 250 SC,2025-10-30,1144
Amistar 250 SC,2025-11-03,1,Amistar 250 SC,2025-11-03,1608
Amistar 250 SC,2025-11-04,1,Amistar 250 SC,2025-11-04,1116
Amistar 250 SC,2025-11-05,1,Amistar 250 SC,2025-11-05,993
Amistar 250 SC,2025-11-06,1,Amistar 250 SC,2025-11-06,1476
Amistar 250 SC,2025-11-10,1,Amistar 250 SC,2025-11-10,961
Amistar 250 SC,2025-11-11,2,Amistar 250 SC,2025-11-11,1257
Amistar 250 SC,2025-11-16,1,Amistar 250 SC,2025-11-16,1509
Amistar 250 SC,2025-11-19,1,Amistar 250 SC,2025-11-19,1045
Amistar 250 SC,2025-11-20,1,Amistar 250 SC,2025-11-20,1231
Amistar 250 SC,2025-11-22,1,Amistar 250 SC,2025-11-22,749
Amistar 250 SC,2025-11-26,1,Amistar 250 SC,2025-11-26,999
Amistar 250 SC,2025-11-30,1,Amistar 250 SC,2025-11-30,1120
Amistar 250 SC,2025-12-03,2,Amistar 250 SC,2025-12-03,596
Amistar 250 SC,2025-12-14,1,Amistar 250 SC,2025-12-14,794
Amistar 250 SC,2025-12-15,1,Amistar 250 SC,2025-12-15,793
Amistar 250 SC,2025-12-24,2,Amistar 250 SC,2025-12-24,670
Amistar 250 SC,2025-12-28,1,Amistar 250 SC,2025-12-28,930
Amistar 250 SC,2025-12-31,1,Amistar 250 SC,2025-12-31,1104
Amistar 250 SC,2026-01-01,1,Amistar 250 SC,2026-01-01,993
Amistar 250 SC,2026-01-03,2,Amistar 250 SC,2026-01-03,1267
Amistar 250 SC,2026-01-04,2,Amistar 250 SC,2026-01-04,1022
Amistar 250 SC,2026-01-12,1,Amistar 250 SC,2026-01-12,686
Amistar 250 SC,2026-01-20,2,Amistar 250 SC,2026-01-20,876
Amistar 250 SC,2026-01-25,1,Amistar 250 SC,2026-01-25,833
Amistar 250 SC,2026-02-15,2,Amistar 250 SC,2026-02-15,894
Amistar 250 SC,2026-02-18,1,Amistar 250 SC,2026-02-18,1016
Amistar 250 SC,2026-02-21,1,Amistar 250 SC,2026-02-21,1048
Amistar 250 SC,2026-02-24,1,Amistar 250 SC,2026-02-24,777
Amistar 250 SC,2026-02-27,1,Amistar 250 SC,2026-02-27,726
Amistar 250 SC,2026-03-25,1,Amistar 250 SC,2026-03-25,484
Amistar 250 SC,2026-03-27,1,Amistar 250 SC,2026-03-27,815
Kavach 75 WP,2025-11-08,1,Kavach 75 WP,2025-11-08,1543
Kavach 75 WP,2025-11-26,1,Kavach 75 WP,2025-11-26,766
Kavach 75 WP,2025-12-05,1,Kavach 75 WP,2025-12-05,1266
Kavach 75 WP,2025-12-12,1,Kavach 75 WP,2025-12-12,730
Kavach 75 WP,2025-12-20,1,Kavach 75 WP,2025-12-20,1496
Kavach 75 WP,2025-12-25,1,Kavach 75 WP,2025-12-25,881
Kavach 75 WP,2025-12-28,1,Kavach 75 WP,2025-12-28,1113
Kavach 75 WP,2026-01-01,1,Kavach 75 WP,2026-01-01,966
Kavach 75 WP,2026-02-04,1,Kavach 75 WP,2026-02-04,862
Score 250 EC,2025-10-08,1,Score 250 EC,2025-10-08,1517
Score 250 EC,2025-10-12,3,Score 250 EC,2025-10-12,1296
Score 250 EC,2025-10-17,1,Score 250 EC,2025-10-17,1501
Score 250 EC,2025-10-24,1,Score 250 EC,2025-10-24,1169
Score 250 EC,2025-10-29,1,Score 250 EC,2025-10-29,1085
Score 250 EC,2025-10-30,1,Score 250 EC,2025-10-30,1457
Score 250 EC,2025-11-04,2,Score 250 EC,2025-11-04,1285
Score 250 EC,2025-11-12,1,Score 250 EC,2025-11-12,1251
Score 250 EC,2025-11-20,1,Score 250 EC,2025-11-20,901
Score 250 EC,2025-11-21,1,Score 250 EC,2025-11-21,1439
Score 250 EC,2025-12-05,1,Score 250 EC,2025-12-05,954
Score 250 EC,2025-12-08,1,Score 250 EC,2025-12-08,1282
Score 250 EC,2025-12-10,1,Score 250 EC,2025-12-10,1530
Score 250 EC,2025-12-13,1,Score 250 EC,2025-12-13,1087
Score 250 EC,2025-12-15,1,Score 250 EC,2025-12-15,1328
Score 250 EC,2025-12-18,1,Score 250 EC,2025-12-18,1059
Score 250 EC,2025-12-19,1,Score 250 EC,2025-12-19,736
Score 250 EC,2025-12-22,1,Score 250 EC,2025-12-22,793
Score 250 EC,2025-12-29,1,Score 250 EC,2025-12-29,896
Score 250 EC,2025-12-30,1,Score 250 EC,2025-12-30,936
Score 250 EC,2026-01-05,1,Score 250 EC,2026-01-05,1067
Score 250 EC,2026-01-06,1,Score 250 EC,2026-01-06,908
Score 250 EC,2026-01-21,1,Score 250 EC,2026-01-21,1205
Score 250 EC,2026-01-22,1,Score 250 EC,2026-01-22,870
Score 250 EC,2026-01-26,1,Score 250 EC,2026-01-26,1465
Score 250 EC,2026-01-30,1,Score 250 EC,2026-01-30,901
Score 250 EC,2026-02-21,1,Score 250 EC,2026-02-21,953
Score 250 EC,2026-02-22,1,Score 250 EC,2026-02-22,571
Tilt 250 EC,2025-10-06,1,Tilt 250 EC,2025-10-06,1131
Tilt 250 EC,2025-10-07,1,Tilt 250 EC,2025-10-07,1813
Tilt 250 EC,2025-10-08,5,Tilt 250 EC,2025-10-08,1897
Tilt 250 EC,2025-10-09,3,Tilt 250 EC,2025-10-09,1488
Tilt 250 EC,2025-10-12,1,Tilt 250 EC,2025-10-12,1949
Tilt 250 EC,2025-10-13,1,Tilt 250 EC,2025-10-13,1246
Tilt 250 EC,2025-10-14,3,Tilt 250 EC,2025-10-14,1150
Tilt 250 EC,2025-10-15,1,Tilt 250 EC,2025-10-15,1271
Tilt 250 EC,2025-10-17,1,Tilt 250 EC,2025-10-17,1131
Tilt 250 EC,2025-10-19,1,Tilt 250 EC,2025-10-19,1330
Tilt 250 EC,2025-10-21,3,Tilt 250 EC,2025-10-21,1107
Tilt 250 EC,2025-10-22,2,Tilt 250 EC,2025-10-22,1076
Tilt 250 EC,2025-10-23,1,Tilt 250 EC,2025-10-23,1139
Tilt 250 EC,2025-10-24,1,Tilt 250 EC,2025-10-24,1716
Tilt 250 EC,2025-10-26,1,Tilt 250 EC,2025-10-26,1826
Tilt 250 EC,2025-10-27,2,Tilt 250 EC,2025-10-27,1215
Tilt 250 EC,2025-10-29,1,Tilt 250 EC,2025-10-29,924
Tilt 250 EC,2025-10-30,3,Tilt 250 EC,2025-10-30,1345
Tilt 250 EC,2025-10-31,2,Tilt 250 EC,2025-10-31,2020
Tilt 250 EC,2025-11-01,3,Tilt 250 EC,2025-11-01,1612
Tilt 250 EC,2025-11-02,2,Tilt 250 EC,2025-11-02,1510
Tilt 250 EC,2025-11-05,1,Tilt 250 EC,2025-11-05,1554
Tilt 250 EC,2025-11-07,2,Tilt 250 EC,2025-11-07,1055
Tilt 250 EC,2025-11-08,1,Tilt 250 EC,2025-11-08,1182
Tilt 250 EC,2025-11-12,1,Tilt 250 EC,2025-11-12,1277
Tilt 250 EC,2025-11-13,1,Tilt 250 EC,2025-11-13,1138
Tilt 250 EC,2025-11-14,3,Tilt 250 EC,2025-11-14,1096
Tilt 250 EC,2025-11-15,1,Tilt 250 EC,2025-11-15,1055
Tilt 250 EC,2025-11-16,2,Tilt 250 EC,2025-11-16,1290
Tilt 250 EC,2025-11-17,2,Tilt 250 EC,2025-11-17,746
Tilt 250 EC,2025-11-18,2,Tilt 250 EC,2025-11-18,1262
Tilt 250 EC,2025-11-21,1,Tilt 250 EC,2025-11-21,1350
Tilt 250 EC,2025-11-22,3,Tilt 250 EC,2025-11-22,1214
Tilt 250 EC,2025-11-23,1,Tilt 250 EC,2025-11-23,1071
Tilt 250 EC,2025-11-24,2,Tilt 250 EC,2025-11-24,1426
Tilt 250 EC,2025-11-25,2,Tilt 250 EC,2025-11-25,1242
Tilt 250 EC,2025-11-27,2,Tilt 250 EC,2025-11-27,868
Tilt 250 EC,2025-11-28,1,Tilt 250 EC,2025-11-28,1455
Tilt 250 EC,2025-11-29,1,Tilt 250 EC,2025-11-29,898
Tilt 250 EC,2025-11-30,1,Tilt 250 EC,2025-11-30,1263
Tilt 250 EC,2025-12-01,1,Tilt 250 EC,2025-12-01,954
Tilt 250 EC,2025-12-05,1,Tilt 250 EC,2025-12-05,852
Tilt 250 EC,2025-12-07,1,Tilt 250 EC,2025-12-07,1067
Tilt 250 EC,2025-12-09,2,Tilt 250 EC,2025-12-09,955
Tilt 250 EC,2025-12-10,1,Tilt 250 EC,2025-12-10,881
Tilt 250 EC,2025-12-13,1,Tilt 250 EC,2025-12-13,1331
Tilt 250 EC,2025-12-14,1,Tilt 250 EC,2025-12-14,1397
Tilt 250 EC,2025-12-15,4,Tilt 250 EC,2025-12-15,876
Tilt 250 EC,2025-12-18,1,Tilt 250 EC,2025-12-18,684
Tilt 250 EC,2025-12-19,1,Tilt 250 EC,2025-12-19,1285
Tilt 250 EC,2025-12-21,1,Tilt 250 EC,2025-12-21,1064
Tilt 250 EC,2025-12-22,3,Tilt 250 EC,2025-12-22,698
Tilt 250 EC,2025-12-23,1,Tilt 250 EC,2025-12-23,1105
Tilt 250 EC,2025-12-24,2,Tilt 250 EC,2025-12-24,769
Tilt 250 EC,2025-12-25,1,Tilt 250 EC,2025-12-25,1697
Tilt 250 EC,2025-12-28,1,Tilt 250 EC,2025-12-28,1583
Tilt 250 EC,2025-12-29,1,Tilt 250 EC,2025-12-29,1066
Tilt 250 EC,2025-12-31,2,Tilt 250 EC,2025-12-31,905
Tilt 250 EC,2026-01-06,1,Tilt 250 EC,2026-01-06,1095
Tilt 250 EC,2026-01-08,1,Tilt 250 EC,2026-01-08,858
Tilt 250 EC,2026-01-16,3,Tilt 250 EC,2026-01-16,801
Tilt 250 EC,2026-01-17,2,Tilt 250 EC,2026-01-17,1190
Tilt 250 EC,2026-01-19,1,Tilt 250 EC,2026-01-19,959
Tilt 250 EC,2026-01-21,2,Tilt 250 EC,2026-01-21,809
Tilt 250 EC,2026-01-25,1,Tilt 250 EC,2026-01-25,952
Tilt 250 EC,2026-01-28,2,Tilt 250 EC,2026-01-28,922
Tilt 250 EC,2026-02-03,1,Tilt 250 EC,2026-02-03,953
Tilt 250 EC,2026-02-04,2,Tilt 250 EC,2026-02-04,683
Tilt 250 EC,2026-02-06,1,Tilt 250 EC,2026-02-06,871
Tilt 250 EC,2026-02-11,1,Tilt 250 EC,2026-02-11,793
Tilt 250 EC,2026-02-12,1,Tilt 250 EC,2026-02-12,628
Tilt 250 EC,2026-02-13,1,Tilt 250 EC,2026-02-13,663
Tilt 250 EC,2026-02-17,1,Tilt 250 EC,2026-02-17,1061
Tilt 250 EC,2026-02-23,1,Tilt 250 EC,2026-02-23,682
Tilt 250 EC,2026-02-24,1,Tilt 250 EC,2026-02-24,714
Tilt 250 EC,2026-02-28,1,Tilt 250 EC,2026-02-28,916
Tilt 250 EC,2026-03-01,1,Tilt 250 EC,2026-03-01,1158
Tilt 250 EC,2026-03-28,1,Tilt 250 EC,2026-03-28,980
Tilt 250 EC,2026-03-29,2,Tilt 250 EC,2026-03-29,792
